fecha,ciudad,atentado
21/8/1959,Moron,1
23/8/1959,Avellaneda,1
25/8/1959,Moron,1
25/8/1959,Moron,1
26/8/1959,San Fernando,1
27/8/1959,Moron,1
27/8/1959,Moron,1
2/9/1959,Moron,1
3/9/1959,Avellaneda,1
5/9/1959,Moron,1
5/9/1959,San Martin,1
5/9/1959,Matanza,1
6/9/1959,Vicente Lopez,1
7/9/1959,Avellaneda,0
7/9/1959,San Martin,0
7/9/1959,La Plata,0
9/9/1959,Moron,1
9/9/1959,Moron,1
9/9/1959,Moron,1
12/9/1959,Avellaneda,1
14/9/1959,Avellaneda,1
14/9/1959,Avellaneda,1
14/9/1959,Lanus,1
15/9/1959,Almirante Brown,1
15/9/1959,Lomas,1
15/9/1959,Lomas,1
16/9/1959,Lanus,1
17/9/1959,Avellaneda,1
18/9/1959,La Plata,1
18/9/1959,La Plata,1
19/9/1959,La Plata,1
19/9/1959,Quilmes,1
19/9/1959,San Martin,1
20/9/1959,Lanus,1
21/9/1959,Caseros,1
22/9/1959,La Plata,1
22/9/1959,La Plata,1
22/9/1959,La Plata,1
23/9/1959,La Plata,1
23/9/1959,La Plata,1
23/9/1959,La Plata,1
23/9/1959,La Plata,1
23/9/1959,Berisso,1
24/9/1959,Pilar,1
24/9/1959,San Martin,1
24/9/1959,La Plata,1
24/9/1959,Avellaneda,1
24/9/1959,Avellaneda,1
24/9/1959,Avellaneda,1
24/9/1959,Lanus,1
24/9/1959,Lanus,1
24/9/1959,Moron,1
25/9/1959,Lomas,1
1/10/1959,Lanus,1
1/10/1959,Lanus,1
2/10/1959,La Plata,1
2/10/1959,San Fernando,1
3/10/1959,La Plata,1
8/10/1959,San Martin,1
10/10/1959,San Fernando,0
10/10/1959,Lanus,0
14/10/1959,La Plata,1
14/10/1959,La Plata,1
15/10/1959,Avellaneda,1
15/10/1959,Avellaneda,1
15/10/1959,Quilmes,1
15/10/1959,Quilmes,1
17/10/1959,Matanza,1
19/10/1959,San Fernando,1
22/10/1959,General Sarmiento,1
22/10/1959,San Martin,1
23/10/1959,La Plata,1
24/10/1959,Avellaneda,0
24/10/1959,Moron,0
28/10/1959,San Martin,1
1/11/1959,San Martin,1
3/11/1959,Avellaneda,1
4/11/1959,Lomas,1
8/11/1959,Vicente Lopez,0
8/11/1959,San Martin,0
13/11/1959,Quilmes,1
15/11/1959,Vicente Lopez,1
17/11/1959,Lanus,1
20/11/1959,La Plata,0
20/11/1959,Moron,0
21/11/1959,La Plata,1
24/11/1959,La Plata,1
25/11/1959,Avellaneda,1
30/11/1959,Quilmes,0
30/11/1959,Avellaneda,0
1/12/1959,Avellaneda,1
6/12/1959,Moron,0
6/12/1959,Avellaneda,0
9/12/1959,La Plata,1
9/12/1959,La Plata,1
11/12/1959,Lanus,1
14/12/1959,Lanus,1
16/12/1959,La Plata,1
19/12/1959,Avellaneda,1
21/12/1959,La Plata,1
22/12/1959,Avellaneda,1
23/12/1959,Berisso,1
23/12/1959,La Plata,1
24/12/1959,San Isidro,1
26/12/1959,Lanus,0
26/12/1959,San Isidro,0
31/12/1959,Avellaneda,1
